spring number,spring location,spring name,long,lat,type,well_depth,flow_rate_mean,flow_rate_min,flow_rate_max,temp_mean,temp_min,temp_max,reference,reference_DOI,reference_link,EC,pH,sample_temperature,TDS,TDS_min,TDS_max,Na,Ca,Mg,K,NH4,Cl,F,SO4,HCO3,CO3,NO3,Si,Li,SiO2,reference_hydrochemistry,doi_hydrochemistry,reference_link_hydrochemistry,delta_18O,delta_2H,3H,delta_14C,delta_13C,4He,3He,reference_isotope_data,DOI_isotope_data,reference_link_isotope_data
21,Euganei (Euganean geothermal area - Battaglia Terme),La Grotta,11.78888889,45.2825,spring,,,,,60,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Euganei (Euganean geothermal area - Battaglia Terme),Terme INPS B2,11.78413333,45.28388889,well,150,,,,72,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Euganei (Euganean geothermal area - Battaglia Terme),Terme Euganee,11.78413333,45.28388889,well,,,,,71,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,7.6,,2390,,,642,134,31,50,n/a,1020,n/a,325,143,n/a,n/a,n/a,n/a,45,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,-11.3,-79.8,,,,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,
24,Euganei (Euganean geothermal area - Battaglia Terme),Grazioli,11.78413333,45.28388889,well,,,,,71,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,7.1,,2391,,,647,134,32,49,n/a,1010,n/a,333,140,n/a,n/a,n/a,n/a,46,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,-11.5,-81.7,,,,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,
25,Euganei (Euganean geothermal area - Battaglia Terme),Civrana,11.78413333,45.28388889,well,,,,,72,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,7.5,,2382,,,648,146,32,50,n/a,1020,n/a,324,116,n/a,n/a,n/a,n/a,46,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,-11.4,-83,,,,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,
26,Euganei (Euganean geothermal area - Battaglia Terme),Emo 1 ,11.78413333,45.28388889,well,,,,,71,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,6.5,,2436,,,641,155,31,44,n/a,1040,n/a,320,165,n/a,n/a,n/a,n/a,40,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,-11.4,-82.5,,,,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,
27,Euganei (Euganean geothermal area - Battaglia Terme),Florida,11.78413333,45.28388889,well,,,,,51,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,7.4,,2378,,,641,148,33,45,n/a,993,n/a,313,165,n/a,n/a,n/a,n/a,40,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,-11.3,-81.3,,,,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,
28,Euganei (Euganean geothermal area - Battaglia Terme),San Bartolomeo,11.78413333,45.28388889,well,,,,,56,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,6.9,,2353,,,606,153,30,42,n/a,994,n/a,304,183,n/a,n/a,n/a,n/a,41,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,-11.1,-81.8,,,,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,
29,Euganei (Euganean geothermal area - Battaglia Terme),Battaglia #A,11.78413333,45.28388889,well,,,,,77,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,7.2,,2423,,,641,153,32,40,n/a,1030,n/a,322,155,n/a,n/a,n/a,n/a,50,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,-11.5,-83,,,,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,
30,Euganei (Euganean geothermal area - Battaglia Terme),Battaglia #B,11.78413333,45.28388889,well,,,,,43,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,7.1,,1525,,,259,110,39,24,n/a,604,n/a,274,177,n/a,n/a,n/a,n/a,38,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,-10.4,-74,,,,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,
