Name,"Discharge (L/s)",Temperature,"Air Temperature","Delta T",Precip,Source,State,"Log Discharge",Latitude,Longitude,"Approx Heat Flow (W)","Corrected Heat Flow","Log approx heat flow","Crustal Heat Flow (mW/m2)","Heat Flow Area (m2)","Heat Flow Area (km2)","Precip Area (m2)",hfa/pa
"SHOWER BATH HOT SPRINGS",12.6666666666667,52.7777777777778,0,52.7777777777778,545,"Mitchell et al. 1983",Idaho,1.10266234189715,44.62686047,-114.60202573,2267108.14814815,2797081.48148148,6.35547223782554,150.8,18548285.6862167,18.5482856862167,732946.788990826,25.3064560276679
"PINE FLAT HOT SPRINGS",7.6,59.4444444444444,6.4,53.0444444444444,578,"Mitchell et al. 1983",Idaho,0.88081359228079,44.06073004,-115.68816504,1572254.22222222,1686728.46222222,6.19652276968162,100,16867284.6222222,16.8672846222222,414660.207612457,40.6773650149388
"HEISE HOT SPRINGS",3.8,58.8888888888889,5.8,53.0888888888889,320,"Mitchell et al. 1983",Idaho,0.57978359661681,43.64269148,-111.69079446,777294.222222222,844070.862222222,5.89058543952289,123.3,6845667.98233757,6.84566798233757,374490,18.2799753860919
"RED RIVER HOT SPRINGS",2.21666666666667,55,1.9,53.1,726,"Mitchell et al. 1983",Idaho,0.34570039058344,45.78769036,-115.19872951,417354,492477.72,5.620504580218,133.8,3680700.44843049,3.68070044843049,96287.6033057851,38.2261093023732
"CLEVELAND HOT SPRINGS #3",3.16666666666667,61.1111111111111,7.7,53.4111111111111,412,"Mitchell et al. 1983",Idaho,0.50060235056919,42.331355,-111.714226,677188.148148148,707661.614814815,5.83070934867065,111.5,6346740.94004318,6.34674094004318,242388.349514563,26.1841831620783
"ROYSTONE HOT SPRINGS",3.16666666666667,63.8888888888889,10.1,53.7888888888889,313,"Mitchell et al. 1983",Idaho,0.50060235056919,43.95294456,-116.35457604,713991.851851852,712666.918518518,5.85369325559134,100,7126669.18518518,7.12666918518518,319054.313099042,22.3368526692598
"HAILEY HOT SPRINGS",4.43333333333333,60,5.3,54.7,392,"Mitchell et al. 1983",Idaho,0.64673038624742,43.50573937,-114.35560359,927453.333333333,1014633.94666667,5.96729206644266,150.8,6728341.82139699,6.72834182139699,356657.142857143,18.8650135182965
"ROBINSON BAR HOT SPRINGS",4.43333333333333,55,0,55,558,"Mitchell et al. 1983",Idaho,0.64673038624742,44.2466,-114.6764,834708,1020198.66666667,5.92153457588199,150.8,6765243.14765694,6.76524314765694,250554.838709677,27.0010476847983
"MOLLY'S HOT SPRINGS",4.75,58.8888888888889,3.6,55.2888888888889,606,"Mitchell et al. 1983",Idaho,0.67669360962487,44.63684346,-115.69400604,971617.777777778,1098811.37777778,5.98749545253095,100,10988113.7777778,10.9881137777778,247188.118811881,44.4524349737866
"SHEEP CREEK HOT SPRINGS",6.33333333333333,57.7777777777778,1.8,55.9777777777778,655,"Mitchell et al. 1983",Idaho,0.80163234623317,45.0353,-115.5606,1266047.40740741,1483336.47407407,6.10244996823265,85.2,17410052.5126065,17.4100525126065,304928.244274809,57.0955719566473
"OWEN CABIN HOT SPRINGS",1.58333333333333,56.1111111111111,0,56.1111111111111,545,"Mitchell et al. 1983",Idaho,0.1995723549052,44.6516,-114.7343,305470.740740741,371717.407407407,5.48496961803719,150.8,2464969.54514196,2.46496954514196,91618.3486238532,26.9047585136259
"COW FLATS HOT SPRINGS",0.63333333333333,58.8888888888889,2.5,56.3888888888889,713,"Mitchell et al. 1983",Idaho,-0.19836765376683,45.4316,-116.0148,129549.037037037,149423.037037037,5.11243418913925,85.2,1753791.51451921,1.75379151451921,28012.3422159888,62.6078141198129
"CABARTON HOT SPRINGS",3.8,62.7777777777778,6.2,56.5777777777778,580,"Mitchell et al. 1983",Idaho,0.57978359661681,44.41656002,-116.03290787,839124.444444444,899541.404444444,5.92382637266157,100,8995414.04444444,8.99541404444444,206615.172413793,43.5370449292519
"WARDROP HOT SPRINGS OR HOT SPRING RANCH",12.2233333333333,65,8.4,56.6,341,"Mitchell et al. 1983",Idaho,1.08718965524094,43.38295502,-114.93228869,2812833.46666667,2894661.34933333,6.4491440205944,150.8,19195367.0380194,19.1953670380194,1130425.3372434,16.9806588773287
"CAMPGROUND HOT SPRINGS",6.33333333333333,56.6666666666667,0,56.6666666666667,561,"Mitchell et al. 1983",Idaho,0.80163234623317,44.26324416,-114.81230192,1236604.44444444,1501591.11111111,6.09223080305096,150.8,9957500.73681108,9.95750073681108,356021.390374332,27.9688271717086
"FOSTER RANCH HOT SPRINGS",0.31666666666667,57.2222222222222,0,57.2222222222222,545,"Mitchell et al. 1983",Idaho,-0.49939764943081,44.661,-114.6521,62566.2962962963,75815.6296296296,4.79634044703939,150.8,502756.164652716,0.50275616465272,18323.6697247706,27.4375260089452
"DIXON HOT SPRINGS",3.16666666666667,62.7777777777778,5.4,57.3777777777778,619,"Mitchell et al. 1983",Idaho,0.50060235056919,45.0382,-116.2871,699270.37037037,760217.303703704,5.84464512661394,85.2,8922738.3063815,8.9227383063815,161331.179321486,55.3069675924272
"LIGHTFOOT HOT SPRINGS",3.16666666666667,62.2222222222222,4.8,57.4222222222222,461,"Mitchell et al. 1983",Idaho,0.50060235056919,43.60823327,-114.95118113,691909.62962963,760806.162962963,5.8400493749248,150.8,5045133.70665095,5.04513370665095,216624.728850325,23.289740434652
"ELKHORN HOT SPRINGS",12.6666666666667,57.7777777777778,0,57.7777777777778,568,"Mitchell et al. 1983",Idaho,1.10266234189715,44.24490941,-114.88591607,2532094.81481481,3062068.14814815,6.40347996389663,150.8,20305491.6985951,20.3054916985951,703267.605633803,28.8730655811955
"DUTCH FRANK'S HOT SPRINGS",19,65,7.2,57.8,525,"Mitchell et al. 1983",Idaho,1.27875360095283,43.78934095,-115.43537211,4372280,4594868.8,6.64070796630629,100,45948688,45.948688,1141302.85714286,40.2598554033486
"ATLANTA HOT SPRINGS #1",6.33333333333333,60,2,58,555,"Mitchell et al. 1983",Idaho,0.80163234623317,43.81156686,-115.11063591,1324933.33333333,1536922.66666667,6.1221940264284,150.8,10191794.8717949,10.1917948717949,359870.27027027,28.3207469851305
"CLEVELAND HOT SPRINGS #1",0.31666666666667,66.1111111111111,7.7,58.4111111111111,412,"Mitchell et al. 1983",Idaho,-0.49939764943081,42.3329,-111.7147,74343.4814814815,77390.8281481481,4.87124289510774,111.5,694088.144826441,0.69408814482644,24238.8349514563,28.6353756777711
"ZIM'S RESORT HOT SPRINGS",12.6666666666667,63.8888888888889,5.4,58.4888888888889,619,"Mitchell et al. 1983",Idaho,1.10266234189715,45.03850236,-116.29235027,2855967.40740741,3099755.14074074,6.4557532469193,85.2,36382102.5908538,36.3821025908538,645324.717285945,56.3779778091667
"TWIN SPRINGS",31.6666666666667,67.2222222222222,8.7,58.5222222222222,423,"Mitchell et al. 1983",Idaho,1.50060235056919,43.67044933,-115.69704562,7581562.96296296,7753804.2962963,6.87975874603027,100,77538042.962963,77.538042962963,2360851.06382979,32.8432590055809
"HAVEN LODGE HOT SPRINGS",5.06666666666667,63.3333333333333,4.5,58.8333333333333,585,"Mitchell et al. 1983",Idaho,0.70472233322511,44.07545403,-115.554272,1130609.77777778,1247203.91111111,6.05331273702059,100,12472039.1111111,12.4720391111111,273132.307692308,45.6629946727549
"BARTH HOT SPRINGS",12.6666666666667,59.4444444444444,0.6,58.8444444444444,659,"Mitchell et al. 1983",Idaho,1.10266234189715,45.51241325,-115.04344269,2620423.7037037,3118598.63703704,6.41837151929797,133.8,23307912.0854786,23.3079120854786,606154.779969651,38.4520799896119
"TEAPOT HOT SPRINGS",0.95,62.2222222222222,3,59.2222222222222,632,"Mitchell et al. 1983",Idaho,-0.02227639471115,44.91378925,-115.72234175,207572.888888889,235396.488888889,5.31717062964446,85.2,2762869.58789776,2.76286958789776,47403.7974683544,58.2837185088848
"COUNCIL MOUNTAIN HOT SPRINGS",3.16666666666667,67.7777777777778,7.7,60.0777777777778,533,"Mitchell et al. 1983",Idaho,0.50060235056919,44.6691,-116.3052,765517.037037037,795990.503703704,5.88395486062388,100,7959905.03703703,7.95990503703703,187362.101313321,42.4840721855798
"MUNDO HOT SPRINGS",27.2966666666667,70,9.5,60.5,342,"Mitchell et al. 1983",Idaho,1.4361096163939,44.58460681,-116.63182244,6852555.2,6909659.82666667,6.83585254263676,100,69096598.2666667,69.0965982666667,2517040,27.4515296803653
"VAUGHN HOT SPRING",6.33333333333333,67.7777777777778,7,60.7777777777778,493,"Mitchell et al. 1983",Idaho,0.80163234623317,43.73850591,-115.58371008,1531034.07407407,1610530.07407407,6.18498485628786,100,16105300.7407407,16.1053007407407,405127.789046653,39.7536312644456
"SKILLERN HOT SPRINGS",12.6666666666667,64.4444444444444,3.6,60.8444444444444,457,"Mitchell et al. 1983",Idaho,1.10266234189715,43.64712402,-114.81673305,2885410.37037037,3224593.3037037,6.46020758834555,150.8,21383244.7195206,21.3832447195206,874083.150984683,24.4636276256231
"BARRON'S HOT SPRINGS",1.96333333333333,68.8888888888889,7.9,60.9888888888889,330,"Mitchell et al. 1983",Idaho,0.29299404006744,43.29323305,-114.90895353,483747.881481481,500998.513481482,5.68461907608812,120.6,4154216.52969719,4.15421652969719,187623.272727273,22.141264616654
"SQUAW HOT (VINCENT) SPRINGS #1",2.34333333333333,68.8888888888889,7,61.8888888888889,428,"Mitchell et al. 1983",Idaho,0.36983407030016,42.1182566,-111.96356531,577376.503703704,606790.023703704,5.76145910632084,111.5,5442062.99285833,5.44206299285833,172662.056074766,31.5185809585274
"THOMAS CREEK RANCH HOT SPRINGS",4.30666666666667,62.2222222222222,0.3,61.9222222222222,570,"Mitchell et al. 1983",Idaho,0.6341412589394,44.72102046,-115.01537528,940997.096296296,1115782.30162963,5.97358828329501,133.8,8339180.13176106,8.33918013176106,238272,34.9985736123466
"SHARKEY HOT SPRINGS",12.6666666666667,63.3333333333333,1.3,62.0333333333333,374,"Mitchell et al. 1983",Idaho,1.10266234189715,45.01298147,-113.60644436,2826524.44444444,3287601.24444444,6.45125274569263,122.8,26771997.1045965,26.7719971045965,1068064.17112299,25.0659069262173
"GEDDES HOT SPRINGS",7.6,67.7777777777778,5.4,62.3777777777778,619,"Mitchell et al. 1983",Idaho,0.88081359228079,45.0366,-116.2875,1837240.88888889,1983513.52888889,6.26416610233548,85.2,23280675.2217006,23.2806752217006,387194.830371567,60.1265135677549
"SALMON FALLS HOT SPRINGS (AKA MIRACLE?)",1.58333333333333,70.5555555555556,7.8,62.7555555555556,272,"Mitchell et al. 1983",Idaho,0.1995723549052,42.704,-114.8563,401160.37037037,415734.637037037,5.60331802360174,120.6,3447219.21257908,3.44721921257908,183573.529411765,18.7784111556018
"UPPER LOON CREEK HOT SPRINGS",0.31666666666667,62.7777777777778,0,62.7777777777778,545,"Mitchell et al. 1983",Idaho,-0.49939764943081,44.6447,-114.7389,69927.037037037,83176.3703703704,4.84464512661394,150.8,551567.442774339,0.55156744277434,18323.6697247706,30.1013634855418
"WHITE LICKS HOT SPRINGS",1.9,70.5555555555556,7.1,63.4555555555556,577,"Mitchell et al. 1983",Idaho,0.27875360095283,44.6815566,-116.22902349,481392.444444444,504446.284444444,5.68249926964936,85.2,5920731.03808033,5.92073103808033,103844.714038128,57.0152375392593
"COVE CREEK HOT SPRINGS",31.6666666666667,73.8888888888889,10.1,63.7888888888889,284,"Mitchell et al. 1983",Idaho,1.50060235056919,44.2109993,-116.71126516,8464851.85185185,8451602.51851852,6.92761936167871,109.6,77113161.6653149,77.1131616653149,3516338.02816901,21.92996266217
"INDIAN HOT SPRINGS",109.566666666667,68.8888888888889,4.8,64.0888888888889,367,"Mitchell et al. 1983",Idaho,2.03967844936196,42.33629131,-115.6475828,26996252.7407407,29380072.7940741,7.43130348538264,145.2,202342099.132742,202.342099132742,9414971.11716621,21.4915262739164
"SACAJAWEA HOT SPRINGS",1.9,67.2222222222222,2.8,64.4222222222222,538,"Mitchell et al. 1983",Idaho,0.27875360095283,44.16018274,-115.17814898,454893.777777778,512130.897777778,5.65790999641391,150.8,3396093.48659004,3.39609348659004,111372.49070632,30.4931088911827
"MAPLE GROVE HOT SPRINGS #2",6.33333333333333,72.2222222222222,7.7,64.5222222222222,412,"Mitchell et al. 1983",Idaho,0.80163234623317,42.309372,-111.706749,1648805.92592593,1709752.85925926,6.21716953965926,111.5,15334106.3610696,15.3341063610696,484776.699029126,31.6312776413956
"MAGIC RESERVOIR HOT SPRINGS",25.3333333333333,72.7777777777778,7.8,64.9777777777778,309,"Mitchell et al. 1983",Idaho,1.40369233756113,43.3281,-114.3987,6654109.62962963,6887297.8962963,6.82308995180046,150.8,45671736.7128402,45.6717367128402,2585475.72815534,17.6647323413187
"GUYER HOT SPRINGS",63.3333333333333,70,4.3,65.7,426,"Mitchell et al. 1983",Idaho,1.80163234623317,43.68296211,-114.41088577,15899200,17409624,7.20137527247603,150.8,115448435.013263,115.448435013263,4688450.70422535,24.6240053050398
"SQUAW HOT (VINCENT) SPRINGS #2",7.53666666666667,72.7777777777778,7,65.7777777777778,428,"Mitchell et al. 1983",Idaho,0.8771793076257,42.119227,-111.928401,1979597.61481481,2074197.85481481,6.29657692186503,111.5,18602671.3436306,18.6026713436306,555318.504672897,33.4991022036773
"WARM SPRINGS CREEK HOT SPRINGS",95,75,8.2,66.8,483,"Mitchell et al. 1983",Idaho,1.97772360528885,44.1526715,-115.99484475,25836200,26551664,7.41222863779092,100,265516640,265.51664,6202732.91925466,42.806395738204
"MAPLE GROVE HOT SPRINGS #1",22.1666666666667,76.1111111111111,7.7,68.4111111111111,412,"Mitchell et al. 1983",Idaho,1.34570039058344,42.30825617,-111.70744613,6131497.03703704,6344811.3037037,6.78756652273188,111.5,56904137.252948,56.904137252948,1696718.44660194,33.5377607091567
"NINEMEYER (OR NEINMEYER) HOT SPRINGS",22.1033333333333,76.1111111111111,7,69.1111111111111,493,"Mitchell et al. 1983",Idaho,1.34445777319235,43.75489498,-115.57176563,6113978.47407407,6391419.51407407,6.78632390534079,100,63914195.1407407,63.9141951407407,1413895.98377282,45.2043119679802
"DEER HOT SPRINGS",1.9,81.1111111111111,8.2,72.9111111111111,483,"Mitchell et al. 1983",Idaho,0.27875360095283,44.09155945,-116.05151223,565304.888888889,579614.168888889,5.75228274135661,100,5796141.68888889,5.79614168888889,124054.658385093,46.7224831726704
"BATTLE CREEK (WAYLAND) HOT SPRINGS #1",57,82.2222222222222,7,75.2222222222222,428,"Mitchell et al. 1983",Idaho,1.75587485567249,42.13297892,-111.92800867,17224133.3333333,17939597.3333333,7.23613737873524,111.5,160893249.626308,160.893249626308,4199887.85046729,38.3089395133269
"CRANE CREEK HOT SPRINGS",3.16666666666667,85,9.5,75.5,298,"Mitchell et al. 1983",Idaho,0.50060235056919,44.30627627,-116.74571422,993700,1000324.66666667,5.9972552898201,109.6,9127049.8783455,9.1270498783455,335114.093959732,27.2356491202732
"SUNBEAM HOT SPRINGS",28.12,76.6666666666667,0,76.6666666666667,561,"Mitchell et al. 1983",Idaho,1.44901531634779,44.26768975,-114.7486879,7843605.33333333,9020146.13333333,6.89451573315132,150.8,59815292.6613616,59.8152926613616,1580734.97326203,37.840177938194
"BATTLE CREEK HOT SPRINGS #4",0.31666666666667,83.8888888888889,7,76.8888888888889,428,"Mitchell et al. 1983",Idaho,-0.49939764943081,42.133748,-111.928379,97897.8518518519,101872.651851852,4.99077316229218,111.5,913656.070420196,0.9136560704202,23332.7102803738,39.1577343326768
"BOILING SPRINGS HOT SPRINGS",10.45,85,5.1,79.9,596,"Mitchell et al. 1983",Idaho,1.01911629044707,44.36378475,-115.85706627,3279210,3493451.72,6.51576922969799,100,34934517.2,34.9345172,552938.255033557,63.1797798072045
"WORSWICK HOT SPRINGS",29.5133333333333,86.6666666666667,4.9,81.7666666666667,408,"Mitchell et al. 1983",Idaho,1.47001826292317,43.56351255,-114.79950908,9467090.31111111,10096857.6231111,6.97621652008031,150.8,66955289.2779251,66.9552892779251,2281207.05882353,29.3508162790166
"VULCAN HOT SPRINGS",38,88.3333333333333,5.1,83.2333333333333,580,"Mitchell et al. 1983",Idaho,1.57978359661681,44.56739841,-115.69595095,12454373.3333333,13233434.1333333,7.0953218800281,100,132334341.333333,132.334341333333,2066151.72413793,64.0487045492982
"BONNEVILLE HOT SPRINGS",22.99,87.7777777777778,3.5,84.2777777777778,560,"Mitchell et al. 1983",Idaho,1.36153897126928,44.15712548,-115.31537642,7481456.88888889,8106692.92888889,6.87398617770343,100,81066929.2888889,81.0669292888889,1294665.42857143,62.6161226675686
"BIG CREEK HOT SPRINGS",4.75,93.8888888888889,0,93.8888888888889,531,"Mitchell et al. 1983",Idaho,0.67669360962487,45.30658367,-114.33841808,1667207.77777778,1865947.77777778,6.22198972767395,133.8,13945798.0401927,13.9457980401927,282101.694915254,49.4353571480033
,39.7733333333333,20.5555555555556,6.8,13.7555555555556,360,"Montana DEQ 2009",Montana,1.59959198997036,47.9,-108.67,1756567.17037037,2289084.3757037,6.2446647616791,138.8,16491962.3609777,16.4919623609777,3484144,4.73343305012011
,4560,20,6,14,407,"Montana DEQ 2009",Montana,3.65896484266443,47.219,-109.47,190790400,267106560,8.28055651852365,172.4,1549341995.35963,1549.34199535963,353327174.447174,4.38500660976267
,69.6033333333333,20,2.4,17.6,455,"Montana DEQ 2009",Montana,1.84263003865666,46.72,-113.3,2912203.46666667,5125478.10133333,6.46422171451588,97,52839980.4261168,52.8399804261168,4824199.38461538,10.9531087364727
,170.683333333333,30,6.3,23.7,364,"Montana DEQ 2009",Montana,2.23219111575592,48,-108.44,14282781.3333333,16925095.88,7.15481278727912,102.6,164961948.148148,164.961948148148,14787553.8461538,11.1554588314181
,14.1866666666667,29.4444444444444,1.8,27.6444444444444,512,"Montana DEQ 2009",Montana,1.15188036456733,45.7,-114.36,1154164.14814815,1640891.65748148,6.06226757967352,133.8,12263764.2562144,12.2637642562144,873810,14.0348179309167
,33.44,42.7777777777778,2.6,40.1777777777778,481,"Montana DEQ 2009",Montana,1.52426626876698,46.1,-114,4586035.91111111,5621391.81511111,6.66143745116503,63.9,87971702.8968875,87.9717028968875,2192440.41580042,40.1250142365994
,8.36,41.6666666666667,0.3,41.3666666666667,658,"Montana DEQ 2009",Montana,0.92220627743902,45.337,-110.69,1107644.26666667,1446933.19466667,6.04440030386742,44.9,32225683.6228656,32.2256836228656,400670.151975684,80.4294591547747
,3.16033333333333,44.4444444444444,2.6,41.8444444444444,368,"Montana DEQ 2009",Montana,0.49973289185656,45.17,-112.15,455453.194074074,553302.170607407,5.65844375211072,77.1,7176422.44626987,7.17642244626987,270826.826086956,26.4981964673089
,1.64666666666667,43.8888888888889,1.9,41.9888888888889,569,"Montana DEQ 2009",Montana,0.21660569420398,46.75,-114.53,233482.696296296,289288.888296296,5.36825469997066,63.9,4527212.64939431,4.52721264939431,91264.1124780316,49.6056174378956
,1.26666666666667,48.8888888888889,2.5,46.3888888888889,709,"Montana DEQ 2009",Montana,0.10266234189715,47.33,-114.79,206100.740740741,245848.740740741,5.31407955266732,63.9,3847398.13365791,3.84739813365791,56340.7616361072,68.2880036039879
,6.65,48.3333333333333,1.4,46.9333333333333,347,"Montana DEQ 2009",Montana,0.8228216453031,45.46,-113.11,1066571.33333333,1305854.29333333,6.02798990679627,122.8,10633992.616721,10.633992616721,604364.265129683,17.5953365052766
,4.68666666666667,52.7777777777778,5,47.7777777777778,270,"Montana DEQ 2009",Montana,0.67086406596414,45.46,-112.47,838830.014814815,936875.081481481,5.92367396189254,77.1,12151427.7753759,12.1514277753759,547402.666666667,22.1983350014905
,12.6666666666667,55,0.7,54.3,671,"Montana DEQ 2009",Montana,1.10266234189715,45.66,-111.19,2384880,2877755.2,6.37746653153171,44.9,64092543.4298441,64.0925434298441,595314.456035767,107.661661463153
,83.6,60,5.6,54.4,463,"Montana DEQ 2009",Montana,1.92220627743902,45.76,-110.26,17489120,19028162.56,7.24276795763425,44.9,423789812.026726,423.789812026726,5694189.20086393,74.4249614962615
,6.35866666666667,56.1111111111111,0.9,55.2111111111111,548,"Montana DEQ 2009",Montana,0.80336605904217,44.45,-114.98,1226770.49481481,1468872.91294815,6.08876332217415,150.8,9740536.55801159,9.74053655801159,365925.02189781,26.618940971825
,16.72,57.7777777777778,1.8,55.9777777777778,347,"Montana DEQ 2009",Montana,1.223236273103,45.37,-113.4,3342365.15555556,3916008.29155556,6.52405389510248,122.8,31889318.335143,31.889318335143,1519544.43804035,20.9861044776476
,3.35666666666667,60,0.8,59.2,510,"Montana DEQ 2009",Montana,0.52590821583396,44.98,-111.61,702214.666666667,831422.165333333,5.84646989602919,77.1,10783685.6722871,10.7836856722871,207560.470588235,51.9544287104652
,3.8,65.5555555555556,2.2,63.3555555555556,467,"Montana DEQ 2009",Montana,0.57978359661681,46.6,-112.1,883288.888888889,1007302.64888889,5.94610276737272,106.8,9431672.74240533,9.43167274240533,256609.850107066,36.7549131043493
,31.6666666666667,65,0,65,687,"Montana DEQ 2009",Montana,1.50060235056919,45.09,-110.77,7287133.33333333,8612066.66666667,6.86255671592265,44.9,191805493.689681,191.805493689681,1453624.45414847,131.949825928073
,2.53333333333333,72.2222222222222,5.7,66.5222222222222,261,"Montana DEQ 2009",Montana,0.40369233756113,45.69,-112.28,659522.37037037,705100.077037037,5.81922953098722,77.1,9145266.88763991,9.14526688763991,306096.551724138,29.877066030727
,31.6666666666667,73.8888888888889,2.1,71.7888888888889,444,"Montana DEQ 2009",Montana,1.50060235056919,46.29,-112.09,8464851.85185185,9511549.18518518,6.92761936167871,106.8,89059449.2994867,89.0594492994867,2249189.18918919,39.5962463840544
,19,89.4444444444444,1.1,88.3444444444444,525,"Montana DEQ 2009",Montana,1.27875360095283,45.37,-111.73,6315515.55555556,7023029.95555556,6.8004088091738,77.1,91089882.6920306,91.0898826920306,1141302.85714286,79.8121919365605
"GEYSER RANCH SPRINGS",3.15,18,8,10,306,"Garside 1994",Nevada,0.4983105537896,38.675,-114.623333333333,105436.8,131796,5.02299221664076,72.7,1812874.82806052,1.81287482806052,324635.294117647,5.58434298706764
"EMIGRANT SPRING",87.45,19.5,9.5,10,252,"Garside 1994",Nevada,1.9417598138147,38.625,-115.047777777778,3475962.6,3658908,6.54107509496276,72.7,50328858.3218707,50.3288583218707,10943742.8571429,4.59887069523217
"DELMUE'S SPRINGS AREA, TWO SPRINGS.",12.6166666666667,21.1,10.8,10.3,280,"Garside 1994",Nevada,1.10094462911643,37.8558333333333,-114.321666666667,585948.28,543717.773333333,5.7678592837623,90.5,6007931.19705341,6.00793119705341,1420997.14285714,4.2279685270679
"PARIS WELL",0.63333333333333,22,11.4,10.6,167,"Garside 1994",Nevada,-0.19836765376683,40.245,-117.678333333333,31798.4,28088.5866666667,4.50240526814001,347,80946.9356388088,0.08094693563881,119597.604790419,0.67682739784512
"INDIAN SPRING",97.9166666666667,26.1,15.1,11,163,"Garside 1994",Nevada,1.99085662056013,36.5616666666667,-115.6683,6595901.66666667,4506516.66666667,6.8192741724512,72,62590509.2592593,62.5905092592593,18944171.7791411,3.30394540278483
"Las Vegas Springs",83.5833333333333,26.1,14.5,11.6,202,"Garside 1994",Nevada,1.92211968697279,36.1645,-115.1899,5630373.93333333,4056666.93333333,6.75053723886386,58.8,68990934.2403628,68.9909342403628,13048930.6930693,5.28709484808637
"HATTON WELL NO. 1",2.51666666666667,21.7,9.9,11.8,151,"Garside 1994",Nevada,0.40082569690953,39.6766666666667,-118.061666666667,123197.88,124250.853333333,5.09060323451491,53,2344355.72327044,2.34435572327044,525600,4.46034193925122
"BLACK CANYON AREA",14.1333333333333,30,18.2,11.8,146,"Garside 1994",Nevada,1.15024460187307,35.98,-114.746666666667,1182677.33333333,697779.626666667,6.07286627339627,58.8,11867000.4535147,11.8670004535147,3052800,3.88725119677501
"UNNAMED SPRING",0.31666666666667,21.1,8.9,12.2,236,"Garside 1994",Nevada,-0.49939764943081,41.4921666666667,-118.319166666667,14706.76,16164.1866666667,4.16751700521506,36.1,447761.403508772,0.44776140350877,42315.2542372881,10.5815600444675
"H. NICKERSON WELL",10.7333333333333,29,16.5,12.5,163,"Garside 1994",Nevada,1.03073461697617,36.0633333333333,-115.145833333333,853257.066666667,561353.333333333,5.93107989378822,58.8,9546825.3968254,9.5468253968254,2076603.6809816,4.59732662725161
"TWIN SPRING, VYA SPRING",11.9166666666667,22,9,13,330,"Garside 1994",Nevada,1.07615479141744,41.5933333333333,-119.865,598312,648171.333333333,5.77692771332428,32.8,19761321.1382114,19.7613211382114,1138800,17.3527582878569
"E.H. STARK WELL",63.0833333333333,22.8,9.6,13.2,147,"Garside 1994",Nevada,1.79991463345245,39.6391666666667,-118.108333333333,3378440.53333333,3484016.8,6.52871627895953,53,65736166.0377359,65.7361660377359,13533306.122449,4.8573619367623
"CEDAR SPRING",0.15,25,11.7,13.3,170,"Garside 1994",Nevada,-0.82390874094432,37.7508333333333,-116.28,9414,8347.08,3.97377419397058,90.1,92642.397336293,0.09264239733629,27825.8823529412,3.32936063486593
"THOMPSON RANCH SPRING",60,21,7.7,13.3,310,"Garside 1994",Nevada,1.77815125038364,39.9008333333333,-115.867777777778,2761440,3338832,6.44113561140109,127.8,26125446.0093897,26.1254460093897,6103741.93548387,4.2802343686109
"SPRING 9",0.0283,19,5.5,13.5,648,"Garside 1994",Nevada,-1.54821356447571,39.4258333333333,-119.611111111111,1065.6648,1598.4972,3.02762062082283,58.9,27139.1714770798,0.02713917147708,1377.26666666667,19.7050957043515
"IVERSON SPRING",64,31.6,18.1,13.5,128,"Garside 1994",Nevada,1.80617997398389,36.7096666666667,-114.714166666667,5783961.6,3614976,6.76222540099404,90.5,39944486.1878453,39.9444861878453,15768000,2.53326269582986
"FISH CREEK SPRINGS",252.15,19,5.4,13.6,308,"Garside 1994",Nevada,2.40165897249515,39.2769444444444,-116.038333333333,9494960.4,14347940.16,6.9774931577937,130.2,110199233.179724,110.199233179724,25817540.2597403,4.2683862239025
"BATTLE MOUNTAIN CITY WELL",15.7666666666667,23.3,9.5,13.8,228,"Garside 1994",Nevada,1.19773988601815,40.6463333333333,-116.934166666667,877370.853333333,910354.72,5.94318320284445,113.8,7999602.10896309,7.99960210896309,2180778.94736842,3.66823153654172
"BUTTERFIELD (FLAG, SUNNYSIDE) SPRINGS",126.183333333333,23.9,10,13.9,248,"Garside 1994",Nevada,2.1010019958006,38.445,-115.006666666667,7338519.82666667,7338519.82666667,6.86560847191391,72.7,100942501.054562,100.942501054562,16045635.483871,6.29096311928744
"SOUTHWEST DREDGING CO. WELL",0.13333333333333,24,10.1,13.9,156,"Garside 1994",Nevada,-0.8750612633917,40.3366666666667,-118.136666666667,7810.13333333333,7754.34666666667,3.89265844814576,53,146308.427672956,0.14630842767296,26953.8461538462,5.42810947416789
"UNNAMED SPRING",0.31666666666667,23,9,14,330,"Garside 1994",Nevada,-0.49939764943081,41.7459,-119.7919,17224.1333333333,18549.0666666667,4.23613737873524,32.8,565520.325203252,0.56552032520325,30261.8181818182,18.6875858484612
"USFWS WELL 3 NR EAST CAN",4.528,25,11,14,125,"Garside 1994",Nevada,0.65590641818022,39.5825,-118.418333333333,284177.28,265232.128,5.45358935309511,53,5004379.77358491,5.00437977358491,1142360.064,4.38073767745517
"UNNAMED  SPRING",1.58333333333333,21.1,7.1,14,289,"Garside 1994",Nevada,0.1995723549052,41.03,-117.3215,73533.8,92745.3333333333,4.86648700955108,113.8,814985.354422964,0.81498535442296,172775.08650519,4.71703051005841
"WARM SPRING",204.166666666667,32.2,18.1,14.1,128,"Garside 1994",Nevada,2.30998483831691,36.7221666666667,-114.715166666667,18963980,12044690,7.27792948862676,90.5,133090497.237569,133.090497237569,50301562.5,2.64585214897786
