Name,"Discharge (L/s)",Temperature,"Air Temperature","Delta T",Precip,Source,State,"Log Discharge",Latitude,Longitude,"Approx Heat Flow (W)","Corrected Heat Flow","Log approx heat flow","Crustal Heat Flow (mW/m2)","Heat Flow Area (m2)","Heat Flow Area (km2)","Precip Area (m2)",hfa/pa
McArthur,30.9476666666667,54,0,54,283,"Geological Survey of Canada",CANADA,1.4906279104808,63.04,-135.42,5697341.64266667,6992192.016,6.75567226282621,71.4,97929860.1680672,97.9298601680672,3448641.75265018,28.3966463297648
Miette,6.583,54,0,54,605,"Geological Survey of Canada",CANADA,0.81842385509208,53.07,-117.46,1211903.968,1487336.688,6.08346820743748,108.1,13758896.2812211,13.7588962812211,343142.955371901,40.0966887585062
"South Redstone",20.657,54,0,54,450,"Geological Survey of Canada",CANADA,1.31506724951422,63.24,-125.52,3802871.072,4667159.952,6.58011160185962,76.4,61088481.0471204,61.0884810471204,1447642.56,42.198594276698
"Pool Creek",32.007,54.5,0,54.5,486,"Geological Survey of Canada",CANADA,1.5052449698485,60.23,-125.32,5959319.316,7298492.196,6.77519665668865,77.1,94662674.3968872,94.6626743968872,2076898.66666667,45.5788604018976
"Stikine River",52.9666666666667,60,4.6,55.4,2157,"Geological Survey of Canada",CANADA,1.72400264248772,56.5,-131.45,11080626.6666667,12277334.3466667,7.04456432268295,66.3,185178496.933132,185.178496933132,774388.873435327,239.128560966595
"Meager Creek",26.2563333333333,59,2.6,56.4,1103,"Geological Survey of Canada",CANADA,1.41923407726433,50.34,-123.3,5382968.43466667,6195906.5248,6.73102183315207,38.3,161773016.313316,161.773016313316,750697.84950136,215.496842598885
"Nahanni North",15.436,58,0,58,583,"Geological Survey of Canada",CANADA,1.18853476989936,62.22,-128.4,3100042.752,3745884.992,6.49136768313416,77.2,48521826.3212435,48.5218263212435,834973.749571184,58.1117985399694
"Sloquet Creek",2.64833333333333,68,8.2,59.8,1748,"Geological Survey of Canada",CANADA,0.42297264682374,49.45,-122.2,642676.346666667,662621.474666667,5.80799231624589,35.8,18508979.7392924,18.5089797392924,47779.0846681922,387.386653968578
"Nahanni Headwater",62.0466666666667,64,0,64,561,"Geological Survey of Canada",CANADA,1.79271845485718,62.49,-128.5,14018575.68,16614608.2133333,7.14670389053936,77.2,215215132.297064,215.215132297064,3487885.34759358,61.7036143248082
Harrison,3.78333333333333,68,3.9,64.1,1551,"Geological Survey of Canada",CANADA,0.57787460680948,49.2,-121.46,918109.066666667,1014668.81333333,5.96289427623163,37,27423481.4414414,27.4234814414414,76925.3384912959,356.494777654367
Harrison,26.2563333333333,68,3.9,64.1,1551,"Geological Survey of Canada",CANADA,1.41923407726433,49.2,-121.46,6371676.92266667,7041801.56453333,6.80425374668649,37,190318961.203604,190.318961203604,533861.849129594,356.494777654367
Lakelse,7.86933333333333,73.5,4.6,68.9,1944,"Geological Survey of Canada",CANADA,0.89593794177224,54.22,-128.35,2090755.95733333,2268552.52693333,6.32030334292343,71,31951444.0413146,31.9514440413146,127658.074074074,250.289253328188
"Hot Spring Island",2.64833333333333,76,0,76,,"Geological Survey of Canada",CANADA,0.42297264682374,52.35,-131.27,731321.36,842127.626666667,5.86410825822482,75.3,11183633.8202745,11.1836338202745,#DIV/0!,#DIV/0!
"Swan Pond Spring",6.31666666666667,22,11.5,10.5,954,"Bliss 1983","E USA",0.80048795958443,39.4666666666667,-77.8833333333333,317147.2,277503.8,5.50126088149127,133.5,2078680.14981273,2.07868014981273,208807.547169811,9.95500487404443
Minnehaha,13.8833333333333,20.4,9.8,10.6,1096,"Bliss 1983","E USA",1.14249375102314,38.1666666666667,-79.9833333333333,604113.813333333,615731.386666667,5.78111876618114,55.9,11014872.7489565,11.0148727489565,399475.182481752,27.5733593274211
"Lebanon Spring",9.15,18.7,7.8,10.9,1076,"Bliss 1983","E USA",0.96142109406645,42.4833333333333,-73.3666666666667,333067.32,417291.24,5.52253202254428,37,11278141.6216216,11.2781416216216,268173.234200743,42.0554335157075
"Jennie Layton",6.31666666666667,21.6,10.4,11.2,1033,"Bliss 1983","E USA",0.80048795958443,37.8666666666667,-80,306575.626666667,296004.053333333,5.48653762467057,39,7589847.52136752,7.58984752136752,192838.722168441,39.3585242425425
Bolar,130.283333333333,22.2,10.5,11.7,1086,"Bliss 1983","E USA",2.11488886157347,38.2166666666667,-79.6833333333333,6650286.69333333,6377733.96,6.82284036810744,55.9,114091841.860465,114.091841860465,3783255.24861878,30.1570563873845
Berkeley,103.15,22.2,10.4,11.8,948,"Bliss 1983","E USA",2.01346923230917,39.6333333333333,-78.2333333333333,5265271.12,5092639.28,6.72142073884314,133.5,38147110.7116105,38.1471107116105,3431369.62025316,11.1171674676061
Bragg,3.78333333333333,23,10.5,12.5,1086,"Bliss 1983","E USA",0.57787460680948,38.2333333333333,-79.65,205783.066666667,197868.333333333,5.31340963497553,55.9,3539683.9594514,3.5396839594514,109862.983425414,32.2190773369493
"Old Sweet",0.06166666666667,23,10.3,12.7,1018,"Bliss 1983","E USA",-1.20994952631665,37.6333333333333,-80.2333333333333,3354.17333333333,3276.76933333333,3.52558550184941,39,84019.7264957265,0.08401972649573,1910.33398821218,43.9816948314665
"Warm Spring",5.83333333333333,30.9,17.6,13.3,1252,"Bliss 1983","E USA",0.76591679396663,32.9,-84.6833333333333,510099.333333333,324608.666666667,5.7076547559369,28.6,11349953.3799534,11.3499533799534,146932.907348243,77.24582317733
"Warm Spring ES",12.6166666666667,31,17.6,13.4,1252,"Bliss 1983","E USA",1.10094462911643,32.9,-84.6833333333333,1108550.8,707360.986666667,6.04475559970957,28.6,24732901.6317016,24.7329016317016,317794.888178914,77.8266188403175
"Warm Spring WS",4.73333333333333,31,17.6,13.4,1252,"Bliss 1983","E USA",0.67516708966339,32.9,-84.6833333333333,415889.6,265377.173333333,5.61897806025653,28.6,9278922.14452214,9.27892214452214,119225.559105431,77.8266188403175
Thorn,63.0833333333333,22,8.6,13.4,1155,"Bliss 1983","E USA",1.79991463345245,38.6,-79.35,3167288,3536804.93333333,6.50068755535929,55.9,63270213.476446,63.270213476446,1722420.77922078,36.7333082831649
Cascade,708.333333333333,22,8,14,393,"Bliss 1983","E USA",2.85023767966667,43.33,-103.55,35564000,41491333.3333333,7.55101060157351,53.4,776991260.923845,776.991260923845,56839694.6564885,13.6698704245264
"Frederick George",1.1,22,6.7,15.3,843,"Bliss 1983","E USA",0.04139268515823,44.7333333333333,-73.2,55228.8,70416.72,4.74216560706507,41.9,1680589.97613365,1.68058997613365,41150.1779359431,40.8404060548599
"Sand Spring",0.25,22,6.7,15.3,843,"Bliss 1983","E USA",-0.60205999132796,44.7333333333333,-73.2,12552,16003.8,4.09871293057888,41.9,381952.267303103,0.3819522673031,9352.31316725979,40.8404060548599
"Sweet Calybeath",63.1,27.5,9.8,17.7,1045,"Bliss 1983","E USA",1.80002935924413,37.65,-80.25,4620182,4672984.08,6.66465908378965,39,119820104.615385,119.820104615385,1904231.19617225,62.923086679936
"New River White Sulfur Springs",9.46666666666667,29.4,10.8,18.6,984,"Bliss 1983","E USA",0.97619708532738,37.3,-80.6166666666667,768405.546666667,736718.72,5.88559049111682,47.9,15380349.0605428,15.3803490605428,303395.12195122,50.6941211237262
"Ladies' Pool",11.6666666666667,34.8,11.3,23.5,1011,"Bliss 1983","E USA",1.06694678963061,38,-79.8333333333333,1210570.66666667,1147113.33333333,6.08299014631605,55.9,20520810.9719738,20.5208109719738,363916.913946588,56.3887255182253
"Men's Pool",28.3833333333333,35,11.3,23.7,1011,"Bliss 1983","E USA",1.45306339757896,38,-79.8333333333333,2968896.66666667,2814514.04,6.47259508211021,55.9,50349088.372093,50.349088372093,885357.863501484,56.868629565189
"Children's Pool",51.7,35.3,11.3,24,1011,"Bliss 1983","E USA",1.71349054309394,38,-79.8333333333333,5472713.84,5191507.2,6.73820274012898,55.9,92871327.3703041,92.8713273703041,1612671.81008902,57.5884856356344
Healing,3.78333333333333,39.9,11.3,28.6,1011,"Bliss 1983","E USA",0.57787460680948,37.9666666666667,-79.8666666666667,473301.053333333,452722.746666667,5.67513747099313,55.9,8098796.89922481,8.0987968992248,118013.056379822,68.6262787157977
"Hot Spring NC",0.53333333333333,39.3,10.3,29,1542,"Bliss 1983","E USA",-0.27300127206374,35.9,-82.8333333333333,65381.9733333333,64712.5333333333,4.81545802414959,36.6,1768102.00364299,1.76810200364299,10907.3929961089,162.101246766641
"Hot Spring 48 HSNP",41.6666666666667,60,16,44,1419,"Bliss 1983","E USA",1.61978875828839,34.5,-93.05,8716666.66666667,7670666.66666667,6.94035043848363,60.3,127208402.432283,127.208402432283,926004.22832981,137.373457421164
"Hot Spring 49 HSNP",2.53333333333333,61.8,16,45.8,1419,"Bliss 1983","E USA",0.40369233756113,34.51,-93.05,549052.373333333,485455.573333333,5.73961377316558,60.3,8050672.85793256,8.05067285793256,56301.0570824524,142.993280679303
"WEISER HOT SPRING",0.31666666666667,21.6666666666667,9.7,11.9666666666667,286,"Mitchell et al. 1983",Idaho,-0.49939764943081,44.27710792,-117.04155823,15457.5555555556,15855.0355555556,4.18914081605902,109.6,144662.733171127,0.14466273317113,34917.4825174825,4.14298863323544
"HIGHLAND LAND CO. WARM SPRINGS",0.06333333333333,22.7777777777778,10.6,12.1777777777778,270,"Mitchell et al. 1983",Idaho,-1.19836765376683,43.8313,-116.3955,3385.94074074074,3226.94874074074,3.52967935300667,100,32269.4874074074,0.03226948740741,7397.33333333333,4.36231354642314
"TAYLOR WARM SPRINGS",15.8333333333333,20,4.4,15.6,437,"Mitchell et al. 1983",Idaho,1.1995723549052,43.60630626,-111.19050065,662466.666666667,1033448,5.82116403076442,217,4762433.1797235,4.7624331797235,1142608.69565217,4.16803512685086
"WARD WARM SPRING",0.31666666666667,21.1111111111111,5,16.1111111111111,379,"Mitchell et al. 1983",Idaho,-0.49939764943081,42.28657964,-113.44861507,14721.4814814815,21346.1481481481,4.16795151698908,103.7,205845.208757456,0.20584520875746,26349.3403693931,7.8121579467151
"GRAPE CREEK WARM SPRINGS",1.26666666666667,22.2222222222222,5.4,16.8222222222222,364,"Mitchell et al. 1983",Idaho,0.10266234189715,42.0854,-113.5639,64774.5185185185,89153.2918518518,4.81140419347527,103.7,859723.161541483,0.85972316154148,109740.659340659,7.83413519389119
"KENT WARM SPRINGS",11.97,23.8888888888889,7,16.8888888888889,351,"Mitchell et al. 1983",Idaho,1.07809415040641,42.33991752,-112.43913945,695590,845837.44,5.84235332983436,111.5,7585986.00896861,7.58598600896861,1075458.46153846,7.05372292865382
"DOLLAR CREEK WARM SPRINGS",0.31666666666667,20.5555555555556,3.6,16.9555555555556,606,"Mitchell et al. 1983",Idaho,-0.49939764943081,44.71684392,-115.70400584,13985.4074074074,22464.9807407407,4.14567512227793,85.2,263673.482872544,0.26367348287254,16479.2079207921,16.0003735701315
"BLACKFOOT RESERVOIR WARM SPRINGS",9.5,22.7777777777778,5.7,17.0777777777778,381,"Mitchell et al. 1983",Idaho,0.97772360528885,42.928,-111.5924,507891.111111111,678807.511111111,5.70577061206235,111.5,6087959.74090683,6.08795974090683,786330.708661417,7.74223831506015
"RICE WARM SPRING",0.31666666666667,22.2222222222222,5,17.2222222222222,379,"Mitchell et al. 1983",Idaho,-0.49939764943081,42.2867,-113.4448,16193.6296296296,22818.2962962963,4.2093442021473,103.7,220041.430051073,0.22004143005107,26349.3403693931,8.35092746028166
"THOMAS FLAT WARM SPRINGS",0.06333333333333,23.8888888888889,5.8,18.0888888888889,386,"Mitchell et al. 1983",Idaho,-1.19836765376683,43.1614,-116.3323,3680.37037037037,4793.31437037037,3.56589152566112,145.2,33011.8069584736,0.03301180695847,5174.30051813471,6.37995548244153
"PLEASANTVIEW WARM SPRINGS",241.3,25,6.8,18.2,389,"Mitchell et al. 1983",Idaho,2.38255732190879,42.1551981,-112.34913478,15143988,18374705.44,7.18024025682368,111.5,164795564.484305,164.795564484305,19562048.3290488,8.42424891873875
"MALAD WARM SPRINGS",2.78666666666667,25,6.5,18.5,420,"Mitchell et al. 1983",Idaho,0.44508502271935,42.17325419,-112.24024248,174891.2,215699.146666667,5.24276795763425,111.5,1934521.49476831,1.93452149476831,209238.857142857,9.24551740142378
"BLACKFOOT RIVER WARM SPRINGS",0.06333333333333,26.1111111111111,5.7,20.4111111111111,381,"Mitchell et al. 1983",Idaho,-1.19836765376683,42.9863,-111.7434,4269.22962962963,5408.6722962963,3.63034951488803,111.5,48508.2717156618,0.04850827171566,5242.20472440945,9.25341039997755
"FALL CREEK MINERAL SPRINGS",4.43333333333333,25,4.1,20.9,420,"Mitchell et al. 1983",Idaho,0.64673038624742,43.42325005,-111.41495042,278236,387675.493333333,5.44441332116232,123.3,3144164.58502298,3.14416458502298,332880,9.44533941667562
"FALL CREEK MINERAL SPRINGS (1)",4.43333333333333,25,4.1,20.9,420,"Mitchell et al. 1983",Idaho,0.64673038624742,43.43658336,-111.3971723,278236,387675.493333333,5.44441332116232,123.3,3144164.58502298,3.14416458502298,332880,9.44533941667562
"BIG SPRINGS WARM SPRINGS",3.16666666666667,22.7777777777778,1.7,21.0777777777778,351,"Mitchell et al. 1983",Idaho,0.50060235056919,44.4538,-112.6958,169297.037037037,279266.503703704,5.22864935734269,120.7,2313724.14004725,2.31372414004725,284512.820512821,8.1322315664963
"BOULDER CREEK RESORT WARM SPRINGS",0.31666666666667,26.1111111111111,4.7,21.4111111111111,626,"Mitchell et al. 1983",Idaho,-0.49939764943081,45.20488792,-116.32540656,21346.1481481481,28368.2948148148,4.32931951922405,85.2,332961.206746653,0.33296120674665,15952.7156549521,20.87175713204
"WHITTAKER WARM SPRINGS",57,23.3333333333333,1.1,22.2333333333333,356,"Mitchell et al. 1983",Idaho,1.75587485567249,44.6121434,-113.36419979,3179840,5302383.2,6.50240526814001,120.7,43930266.7771334,43.9302667771334,5049303.37078652,8.70026289790754
"SEARS WARM SPRINGS",11.0833333333333,27.7777777777778,5.3,22.4777777777778,361,"Mitchell et al. 1983",Idaho,1.04467039491946,42.24019036,-113.58945283,824402.962962963,1042354.4962963,5.91613954399528,103.7,10051634.486946,10.051634486946,968210.52631579,10.3816620597942
"PESCADERO WARM SPRINGS",0.63333333333333,26.1111111111111,2.4,23.7111111111111,487,"Mitchell et al. 1983",Idaho,-0.19836765376683,42.4257,-111.3778,42692.2962962963,62831.282962963,4.63034951488803,111.5,563509.26424182,0.56350926424182,41011.909650924,13.7401371708407
"YANDELL SPRINGS WARM SPRINGS",95,31.6666666666667,6.9,24.7666666666667,328,"Mitchell et al. 1983",Idaho,1.97772360528885,43.14963841,-112.20052787,8612066.66666667,9844254.66666667,6.93510738307126,111.5,88289279.5216741,88.2892795216741,9133902.43902439,9.66610713340447
"TREASURETON WARM SPRINGS #2",0.63333333333333,32.7777777777778,7.7,25.0777777777778,412,"Mitchell et al. 1983",Idaho,-0.19836765376683,42.338561,-111.723972,60358.0740740741,66452.7674074074,4.78073537370881,111.5,595988.945357914,0.59598894535791,48477.6699029126,12.2940922398192
"STINKY WARM SPRINGS",0.63333333333333,30,4.7,25.3,626,"Mitchell et al. 1983",Idaho,-0.19836765376683,45.15211172,-116.29707209,52997.3333333333,67041.6266666667,4.72425401775637,85.2,786873.552425665,0.78687355242567,31905.4313099042,24.6626834404023
"WARM SPRINGS",121.6,28.8888888888889,3.2,25.6888888888889,300,"Mitchell et al. 1983",Idaho,2.08493357493672,44.25601921,-112.63944003,9610183.11111111,13069849.0311111,6.98273166273488,120.7,108283753.364632,108.283753364632,12782592,8.47118904871815
"BARNEY WARM SPRINGS",10.7666666666667,26.1111111111111,0,26.1111111111111,439,"Mitchell et al. 1983",Idaho,1.03208126761144,44.26880519,-113.45028988,725769.037037037,1176246.37037037,5.86079843626631,120.7,9745206.05112155,9.74520605112155,773434.16856492,12.5999166408738
"INDIAN SPRINGS",97.5333333333333,32.2222222222222,6,26.2222222222222,365,"Mitchell et al. 1983",Idaho,1.98915306706963,42.72602284,-112.87388209,9068432.59259259,10700750.4592593,6.9575322291535,103.7,103189493.339048,103.189493339048,8426880,12.2452786012199
"SODA SPRINGS GEYSER WARM SPRINGS",0.06333333333333,31.1111111111111,4.2,26.9111111111111,455,"Mitchell et al. 1983",Idaho,-1.19836765376683,42.657,-111.604,5594.16296296296,7131.08562962963,3.74773511360589,111.5,63955.9249294137,0.06395592492941,4389.62637362637,14.5697878328944
"TREASURETON WARM SPRINGS #1",0.19,35,7.7,27.3,412,"Mitchell et al. 1983",Idaho,-0.72124639904717,42.3373,-111.727,19874,21702.408,4.29828528548408,111.5,194640.430493274,0.19464043049327,14543.3009708738,13.3835111356826
"ALKALI FLATS WARM SPRINGS",0.63333333333333,33.8888888888889,6.3,27.5888888888889,370,"Mitchell et al. 1983",Idaho,-0.19836765376683,43.03686184,-112.00440894,63302.3703703704,73106.877037037,4.80141997256866,111.5,655667.058628135,0.65566705862813,53980.5405405405,12.1463596337224
"UNNAMED SPRING",0.06333333333333,37.7777777777778,9.5,28.2777777777778,298,"Mitchell et al. 1983",Idaho,-1.19836765376683,44.30528,-116.75141,7360.74074074074,7493.23407407407,3.8669215213251,109.6,68368.9240335226,0.06836892403352,6702.28187919463,10.2008428272399
"LICK CREEK WARM SPRINGS",0.25333333333333,32.7777777777778,4.5,28.2777777777778,649,"Mitchell et al. 1983",Idaho,-0.59630766243887,45.0697,-115.8258,24143.2296296296,29972.9362962963,4.38279536503678,85.2,351795.026951834,0.35179502695183,12309.8921417565,28.5782379651001
"PINE FLAT WARM SPRINGS",0.95,35,6.4,28.6,578,"Mitchell et al. 1983",Idaho,-0.02227639471115,44.062,-115.6845,99370,113679.28,4.9972552898201,100,1136792.8,1.1367928,51832.5259515571,21.932035514967
"HOT CREEK WARM SPRINGS",50.54,33.3333333333333,4.4,28.9333333333333,621,"Mitchell et al. 1983",Idaho,1.7036352375839,44.6404494,-116.04568387,4934051.73333333,6118224.14933333,6.69320369873771,100,61182241.4933333,61.1822414933333,2566553.04347826,23.8382922374429
"NAT-SOO-PAH WARM SPRINGS",1.9,36.1111111111111,6.7,29.4111111111111,292,"Mitchell et al. 1983",Idaho,0.27875360095283,42.3374,-114.5087,207572.888888889,233806.568888889,5.31717062964446,120.6,1938694.60106873,1.93869460106873,205200,9.44782943990609
"TERTELING HOT SPRINGS",0.63333333333333,41.1111111111111,10.4,30.7111111111111,262,"Mitchell et al. 1983",Idaho,-0.19836765376683,43.6768,-116.2076,82440.2962962963,81380.3496296296,4.91613954399528,100,813803.496296296,0.8138034962963,76232.0610687023,10.6753442696883
"INDIAN WARM SPRINGS",2.53333333333333,38.8888888888889,7.5,31.3888888888889,294,"Mitchell et al. 1983",Idaho,0.40369233756113,42.7681,-115.7249,306206.814814815,332705.481481481,5.48601485195184,145.2,2291360.06529946,2.29136006529946,271738.775510204,8.43221605380869
"INDIAN BATHTUB HOT SPRINGS",29.0066666666667,38.8888888888889,7.5,31.3888888888889,294,"Mitchell et al. 1983",Idaho,1.46249782423704,42.76100878,-115.739527,3506068.02962963,3809477.76296296,6.54482033862775,145.2,26236072.7476788,26.2360727476788,3111408.97959184,8.43221605380869
