,spring number,spring location,spring name,long,lat,type,well_depth,flow_rate_mean,flow_rate_min,flow_rate_max,temp_mean,temp_min,temp_max,reference,reference_DOI,reference_link,EC,pH,sample_temperature,TDS,TDS_min,TDS_max,Na,Ca,Mg,K,NH4,Cl,F,SO4,HCO3,CO3,NO3,Si,Li,SiO2,reference_hydrochemistry,doi_hydrochemistry,reference_link_hydrochemistry,delta_18O,delta_2H,3H,delta_14C,delta_13C,4He,3He,reference_isotope_data,DOI_isotope_data,reference_link_isotope_data,temperature,flow_rate,log_flow_rate,log_temperature,geometry,recharge,lithology,gw_lvl_depth,gw_lvl_elev,surface_temp,elevation,contributing_area,log_contrib_area,geometry_ws,watershed_area,mean_recharge_ws,min_recharge_ws,max_recharge_ws,mean_gw_lvl_depth_ws,min_gw_lvl_depth_ws,max_gw_lvl_depth_ws,mean_gw_lvl_elev_ws,min_gw_lvl_elev_ws,max_gw_lvl_elev_ws,mean_surface_temp_ws,min_surface_temp_ws,max_surface_temp_ws,mean_elevation_ws,min_elevation_ws,max_elevation_ws,ws_relief
249,612,Schützen am Gebirge,Schwefelquelle,16.628434,47.85274,borehole,3.6,,,,9.9,,,,,,0.208,7.0,,,,,142.56,197.57,72.29,2.76,18.4,57.68,1.4,460.2,636.1,,4.3,,,,,,,,,,,,,,,,,9.9,,,0.99563519459755,POINT (16.628434 47.85274),0.10437001090945013,5.0,1.5927981138229368,125.4072036743164,10.120833296639224,127.0,,,,140900000.0,0.09033952804356213,0.07916115322695508,0.10437001090945013,17.593086866089973,-0.0,73.78150939941406,163.19944433948308,110.0,347.0022888183594,9.91749653382997,8.991666674613953,10.1791666050752,182.2824163139669,110.0,429.0,319.0
250,613,Siegendorf,Schwefelquelle,16.628434,47.85274,spring,,,,,12.6,,,,,,0.2609,7.0,,,,,93.99,367.33,126.72,34.86,18.4,20.88,,1169.9,579.9,,4.3,,0.524,,,,,,,,,,,,,,,12.6,,,1.100370545117563,POINT (16.628434 47.85274),0.10437001090945013,5.0,1.5927981138229368,125.4072036743164,10.120833296639224,127.0,,,,140900000.0,0.09033952804356213,0.07916115322695508,0.10437001090945013,17.593086866089973,-0.0,73.78150939941406,163.19944433948308,110.0,347.0022888183594,9.91749653382997,8.991666674613953,10.1791666050752,182.2824163139669,110.0,429.0,319.0
251,614,Großhöflein,Schwefelquelle,16.481139000000002,47.833967,spring,,,,,12.5,,,,,,0.0703,7.5,,,,,16.31,99.89,23.22,8.24,0.08,19.28,0.16,101.18,269.0,,29.1,,0.006999999999999999,12.46038606,,,,,,,,,,,,,,12.5,,,1.0969100130080565,POINT (16.481139 47.833967),0.2756652021859797,5.0,60.25364303588867,180.7463531494141,9.762499967279533,196.0,,,,154800000.0,0.14510915160297733,0.1297734133770568,0.1546670903164714,18.275411586943413,-0.0,84.19112396240234,178.46869602488047,127.0,376.4313049316406,9.909711768681458,9.137500029678144,10.166666645867132,197.3730297723293,127.0,450.0,323.0
254,620,Bad Sauerbrunn,Paulquelle,16.324007,47.772905,spring,,0.00041,,,,,,,,,,,,,,,167.12,215.52,117.9,11.2,,40.84,0.21,313.0,1249.0,,7.56,,0.11,14.69029098,,,,,,,,,,,,,,,0.00041,-3.3872161432802645,,POINT (16.324007 47.772905),0.21496135815914266,5.0,74.91255950927734,272.08743286132807,9.370833329235516,284.0,60190.42729726865,4.7795274264314065,,125000000.0,0.2784216722306592,0.2677951465199997,0.2890481979413186,24.57042177734357,-0.0,87.326416015625,244.90592175694138,172.93699645996094,527.7616577148439,9.603134747258043,8.304166649778685,9.995833251004418,271.28986135181975,170.0,658.0,488.0
258,640,Gerersdorf-Sulz,Vita Brunnen 12,16.252910999999994,47.068449,well,21.2,,,,12.9,,,,,,0.0043,6.5,,,,,41.5,42.0,14.4,2.89,0.8,15.5,0.2,4.5,317.0,,1.5,,,21.15240565,,,,,,,,,,,,,,12.9,,,1.110589710299249,POINT (16.25291099999999 47.068449),0.15260261739873415,5.0,13.897022247314453,234.1029815673828,9.545833315700293,231.0,,,,103600000.0,0.13581741875615974,0.11903222011358534,0.15260261739873415,29.989454831346606,-0.0,78.66644287109375,254.44094961983814,214.0,277.53131103515625,9.42246780612782,9.200000031851232,9.624999900658926,285.45742993125333,212.0,372.0,160.0
272,661,Eisenkappel-Vellach,Kotschnatal sulfatreiche Quelle,14.559323999999998,46.40993,spring,,,,,,,,,,,0.245,7.33,,,,,7.0,538.4,69.1,0.6,,0.7,,1468.0,178.8,,,,0.01,,,,,-10.28,-70.2,,,,,,,,,,,,,POINT (14.559324 46.40993),0.5453207397964434,5.0,14.947750091552734,1028.05224609375,5.74583333854874,945.0,,,,243700000.0,0.5881675535960313,0.5412823104361011,0.714395868217645,63.80312159101842,-0.0,367.2659912109375,935.1097094371879,397.0,1923.0909423828125,6.061933660575317,1.2166666801397998,8.691666573286058,1000.3245953954868,394.0,2119.0,1725.0
275,664,Bruggen,Jobstquelle,13.194507000000002,46.737775,spring,,0.1,,,,,,,,,0.16473,7.24,,,,,4.39,294.5,63.7,1.3,,1.28,,799.0,247.5,,,,,,,,,-17.19,,,,,,,,,,,0.1,-1.0,,POINT (13.194507 46.737775),0.7157466847613896,6.0,48.9407958984375,595.0592041015625,8.066666786869368,597.0,4409045.919719552,6.644344621978275,,141100000.0,0.7466600480355553,0.7466600480355553,0.7466600480355553,79.80594015032688,-0.0,480.2758483886719,1328.7217199447307,561.6605834960939,2374.9501953125,4.386370061546837,-1.3541666641831398,8.208333348234495,1409.3475177304965,572.0,2635.0,2063.0
277,666,St. Daniel,Bäderquelle,13.05481,46.665811,spring,,,,,,,,,,,0.13013,7.41,,,,,5.4,235.5,40.7,1.42,,2.41,,523.8,287.1,,,,,,,,,-13.67,,,,,,,,,,,,,,POINT (13.05481 46.665811),0.6885652605839082,8.0,12.155403137207033,680.8446044921875,7.42916664481163,786.0,,,,98300000.0,0.6963170464584019,0.6885652605839082,0.7040688323328956,68.64109563059603,-0.0,392.46673583984375,1142.733138570025,637.9830322265625,1960.8624267578125,5.350813005676084,1.837499967465798,8.195833365122478,1224.0504249291785,632.0,2150.0,1518.0
306,733,La Garde,58,6.068908691,45.04949951,spring,,,,,,,,,,,,,,5258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (6.068908691 45.04949951),0.5558475889487114,6.0,13.090838432312012,1570.9091796875,5.274999976158141,1679.0,,,,120200000.0,0.4453261135462279,0.3348046381437444,0.5558475889487114,77.02803533516749,-0.0,383.24365234375,1477.4153907117504,704.0931396484375,2873.3955078125,5.126459396151153,-2.8124999729916453,9.549999898299577,1566.8801711840229,710.0,3043.0,2333.0
317,754,Saint-Gervais-les-Bains,Gontard,6.70611111,45.8966667,well,7.5,0.0002,,,,,,,,,,7.12,20.1,1621.0,,,212.0,210.0,35.7,8.6,,129.0,1.14,776.0,221.0,,,,1.4,,,,,-11.8,-84.6,,,,,,,,,,0.0002,-3.6989700043360183,,POINT (6.70611111 45.8966667),0.5915812449279453,6.0,7.5510826110839835,754.4489135742188,9.012499946790435,690.0,10668.898066179809,4.028119565770221,,147200000.0,0.5597841463407641,0.4902041868849394,0.5975670072094079,84.26026990649397,-0.0,513.21337890625,1896.146797117123,590.7106323242188,3952.543701171875,2.402225570028855,-10.262500144541264,9.545833343019087,1985.4584450402144,578.0,4119.0,3541.0
318,755,Saint-Gervais-les-Bains,Sulfureuse,6.70611111,45.8966667,spring,,2e-05,,,,,,,,,,7.6,9.1,329.0,,,4.1,65.7,10.1,1.9,,4.4,0.1,95.2,141.0,,,,0.01,,,,,-11.42,-80.5,,,,,,,,,,2e-05,-4.698970004336019,,POINT (6.70611111 45.8966667),0.5915812449279453,6.0,7.5510826110839835,754.4489135742188,9.012499946790435,690.0,1066.8898066179809,3.0281195657702216,,147200000.0,0.5597841463407641,0.4902041868849394,0.5975670072094079,84.26026990649397,-0.0,513.21337890625,1896.146797117123,590.7106323242188,3952.543701171875,2.402225570028855,-10.262500144541264,9.545833343019087,1985.4584450402144,578.0,4119.0,3541.0
319,756,Saint-Gervais-les-Bains,Ferrugineuse,6.70611111,45.8966667,spring,,0.001,,,,,,,,,,6.91,10.5,2369.0,,,11.3,612.0,68.7,1.8,,16.8,0.21,1352.0,301.0,,,,0.028,,,,,-11.31,-81.6,,,,,,,,,,0.001,-3.0,,POINT (6.70611111 45.8966667),0.5915812449279453,6.0,7.5510826110839835,754.4489135742188,9.012499946790435,690.0,53344.490330899054,4.727089570106241,,147200000.0,0.5597841463407641,0.4902041868849394,0.5975670072094079,84.26026990649397,-0.0,513.21337890625,1896.146797117123,590.7106323242188,3952.543701171875,2.402225570028855,-10.262500144541264,9.545833343019087,1985.4584450402144,578.0,4119.0,3541.0
320,757,Saint-Gervais-les-Bains,Magnésienne,6.70611111,45.8966667,spring,,0.002,,,,,,,,,,7.01,10.5,2470.0,,,12.4,629.0,66.5,1.8,,18.3,0.3,1428.0,306.0,,,,0.022,,,,,-11.17,-82.0,,,,,,,,,,0.002,-2.6989700043360187,,POINT (6.70611111 45.8966667),0.5915812449279453,6.0,7.5510826110839835,754.4489135742188,9.012499946790435,690.0,106688.98066179812,5.028119565770222,,147200000.0,0.5597841463407641,0.4902041868849394,0.5975670072094079,84.26026990649397,-0.0,513.21337890625,1896.146797117123,590.7106323242188,3952.543701171875,2.402225570028855,-10.262500144541264,9.545833343019087,1985.4584450402144,578.0,4119.0,3541.0
