,longitude,latitude,heat_flow,geometry
6678,-97.8166,22.0333,61.0,POINT (-97.81659999999999 22.0333)
6679,-97.8999,20.5666,61.0,POINT (-97.8999 20.5666)
6680,-98.0833,21.3166,61.0,POINT (-98.08329999999999 21.3166)
6681,-98.1624,26.0624,61.0,POINT (-98.16240000000001 26.0624)
6682,-98.1499,20.9833,61.0,POINT (-98.1499 20.9833)
6683,-98.0333,21.0666,61.0,POINT (-98.0333 21.0666)
6684,-98.2333,21.6666,61.0,POINT (-98.2333 21.6666)
6685,-98.3833,21.3499,61.0,POINT (-98.38330000000001 21.3499)
6686,-98.2666,21.4666,61.0,POINT (-98.2666 21.4666)
6687,-97.4166,25.8249,61.0,POINT (-97.4166 25.8249)
6688,-97.6999,21.5666,61.0,POINT (-97.6999 21.5666)
6689,-97.75,21.0499,61.0,POINT (-97.75 21.0499)
6690,-99.0499,23.9499,61.0,POINT (-99.04989999999999 23.9499)
6691,-98.0333,23.6666,61.0,POINT (-98.0333 23.6666)
6692,-105.6,26.7667,61.0,POINT (-105.6 26.7667)
6693,-98.7999,21.7999,61.0,POINT (-98.79989999999999 21.7999)
6694,-92.5599,17.5108,60.0,POINT (-92.5599 17.5108)
6695,-98.0666,22.5,60.0,POINT (-98.06659999999999 22.5)
6696,-98.2666,21.4666,60.0,POINT (-98.2666 21.4666)
6697,-93.2872,18.1919,60.0,POINT (-93.2872 18.1919)
6698,-97.0666,20.2833,60.0,POINT (-97.06659999999999 20.2833)
6699,-97.9666,21.0499,60.0,POINT (-97.9666 21.0499)
6700,-97.8833,21.7666,60.0,POINT (-97.88330000000001 21.7666)
6701,-92.3749,18.5219,60.0,POINT (-92.3749 18.5219)
6702,-98.2833,21.5333,60.0,POINT (-98.2833 21.5333)
6704,-92.8347,18.0938,60.0,POINT (-92.8347 18.0938)
6705,-98.8833,21.6166,60.0,POINT (-98.88330000000001 21.6166)
6707,-98.7249,25.8999,60.0,POINT (-98.72490000000001 25.8999)
6708,-97.6999,25.6499,59.0,POINT (-97.6999 25.6499)
6709,-97.8833,21.7666,59.0,POINT (-97.88330000000001 21.7666)
6710,-98.5833,21.4166,59.0,POINT (-98.58329999999999 21.4166)
6711,-98.2166,21.6166,59.0,POINT (-98.2166 21.6166)
6712,-93.243,18.3313,59.0,POINT (-93.24299999999999 18.3313)
6713,-98.9333,23.1166,59.0,POINT (-98.9333 23.1166)
6714,-97.8416,25.7833,59.0,POINT (-97.8416 25.7833)
6715,-98.2999,21.0666,59.0,POINT (-98.29989999999999 21.0666)
6716,-97.5749,25.5055,59.0,POINT (-97.5749 25.5055)
6717,-99.1999,24.0499,59.0,POINT (-99.1999 24.0499)
6718,-97.8999,22.6333,59.0,POINT (-97.8999 22.6333)
6720,-97.8833,21.3499,59.0,POINT (-97.88330000000001 21.3499)
6721,-97.6166,21.4333,59.0,POINT (-97.61660000000001 21.4333)
6722,-98.4833,22.3833,59.0,POINT (-98.4833 22.3833)
6723,-97.2833,20.0499,59.0,POINT (-97.2833 20.0499)
6724,-98.1833,21.0499,58.0,POINT (-98.1833 21.0499)
6725,-99.1999,24.0499,58.0,POINT (-99.1999 24.0499)
6726,-98.7999,21.4499,58.0,POINT (-98.79989999999999 21.4499)
6727,-97.9416,25.0222,58.0,POINT (-97.94159999999999 25.0222)
6728,-97.8999,22.9499,58.0,POINT (-97.8999 22.9499)
6729,-98.5999,24.2666,58.0,POINT (-98.59990000000001 24.2666)
6730,-97.8833,21.3499,58.0,POINT (-97.88330000000001 21.3499)
6731,-93.1911,18.1252,58.0,POINT (-93.19110000000001 18.1252)
6732,-98.1166,25.5499,58.0,POINT (-98.11660000000001 25.5499)
6733,-98.1624,26.0624,58.0,POINT (-98.16240000000001 26.0624)
6734,-97.9166,20.9666,58.0,POINT (-97.9166 20.9666)
6735,-97.2833,20.3833,58.0,POINT (-97.2833 20.3833)
6736,-98.25,25.5666,58.0,POINT (-98.25 25.5666)
6737,-92.443,17.8299,58.0,POINT (-92.443 17.8299)
6738,-97.3666,20.9666,57.0,POINT (-97.36660000000001 20.9666)
6739,-97.8166,21.4333,57.0,POINT (-97.81659999999999 21.4333)
6740,-98.0833,22.4499,57.0,POINT (-98.08329999999999 22.4499)
6741,-97.8833,25.9055,57.0,POINT (-97.88330000000001 25.9055)
6742,-92.5388,17.8955,57.0,POINT (-92.53879999999999 17.8955)
6743,-98.1999,22.6999,57.0,POINT (-98.1999 22.6999)
6744,-98.0666,22.5,57.0,POINT (-98.06659999999999 22.5)
6745,-97.8166,23.5166,57.0,POINT (-97.81659999999999 23.5166)
6747,-97.75,21.0499,57.0,POINT (-97.75 21.0499)
6748,-98.0666,21.7833,57.0,POINT (-98.06659999999999 21.7833)
