spring number,spring location,spring name,long,lat,type,well_depth,flow_rate_mean,flow_rate_min,flow_rate_max,temp_mean,temp_min,temp_max,reference,reference_DOI,reference_link,EC,pH,sample_temperature,TDS,TDS_min,TDS_max,Na,Ca,Mg,K,NH4,Cl,F,SO4,HCO3,CO3,NO3,Si,Li,SiO2,reference_hydrochemistry,doi_hydrochemistry,reference_link_hydrochemistry,delta_18O,delta_2H,3H,delta_14C,delta_13C,4He,3He,reference_isotope_data,DOI_isotope_data,reference_link_isotope_data,temperature,flow_rate,log_flow_rate,log_temperature,geometry,recharge,lithology,gw_lvl_depth,gw_lvl_elev,surface_temp,elevation,contributing_area,log_contrib_area,geometry_ws,watershed_area,mean_recharge_ws,min_recharge_ws,max_recharge_ws,mean_gw_lvl_depth_ws,min_gw_lvl_depth_ws,max_gw_lvl_depth_ws,mean_gw_lvl_elev_ws,min_gw_lvl_elev_ws,max_gw_lvl_elev_ws,mean_surface_temp_ws,min_surface_temp_ws,max_surface_temp_ws,mean_elevation_ws,min_elevation_ws,max_elevation_ws,ws_relief
85,Dolomiti Bellunesi National Park,Fontanon,12.02082,46.20346,spring,,0.22,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,0.22,-0.6575773191777937,0.8976270912904415,POINT (12.02082 46.20346),0.5837427094534766,6.0,236.22610473632812,563.77392578125,8.741666633014878,729.0,11893376.803797701,7.075305178339941,,114400000.0,0.5507713389658314,0.5177999684781862,0.5837427094534766,84.72880361920194,-0.0,739.7491455078125,1159.8136083858528,352.6483459472656,2261.081787109375,6.4424183863708,0.8916666929920515,10.416666805744171,1244.4100438810337,334.0,2589.0,2255.0
86,Dolomiti Bellunesi National Park,Stien,11.8852,46.098040000000005,spring,,0.085,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,0.085,-1.0705810742857071,0.8061799739838872,POINT (11.8852 46.09804),0.5717411414465102,6.0,-0.0,881.0,8.483333388964335,975.0,4691626.691781379,6.671323448424455,,139800000.0,0.5163996199819483,0.4985839371561148,0.5342153028077816,68.18158213711092,-0.0,482.5442199707031,886.5332360450258,209.91799926757812,2195.054443359375,7.916860869450305,1.3875000113621354,10.916666574776173,951.0392313851081,206.0,2350.0,2144.0
87,Dolomiti Bellunesi National Park,Pian Palui,12.15402,46.30727,spring,,0.0298,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,0.0298,-1.5257837359237447,0.7160033436347992,POINT (12.15402 46.30727),0.5388370114962872,6.0,3.129084348678589,1556.8709716796875,4.779166708389918,1486.0,1745270.758941695,6.24186281237974,,232000000.0,0.5965514328803517,0.5723400637819959,0.6219255985082789,86.65186724658172,-0.0,546.6644287109375,1394.0259665263068,415.550537109375,2756.151123046875,5.044098117627402,-2.4291666261851788,10.191666642824808,1483.6515989420534,426.0,2952.0,2526.0
88,Dolomiti Bellunesi National Park,Desedan,12.259030000000001,46.23795,spring,,0.0006,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,0.0006,-3.2218487496163566,0.8692317197309762,POINT (12.25903 46.23795),0.5848740077351426,6.0,-0.0,878.0,8.258333357671896,890.0,32373.741608593453,4.510192896067981,,66200000.0,0.5848740077351426,0.5848740077351426,0.5848740077351426,107.44635995264564,-0.0,514.63134765625,908.9850933783878,381.0,1855.27734375,7.630494098648826,1.5999999847263098,10.262499958276749,1014.0566356720203,376.0,2188.0,1812.0
89,Dolomiti Bellunesi National Park,Grotta Guernica,12.21316,46.248979999999996,spring,,0.004,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,0.004,-2.3979400086720375,0.7634279935629372,POINT (12.21316 46.24898),0.5668931078940943,6.0,2.530404567718506,1114.4696044921875,6.7208332897474365,1091.0,222670.54977775822,5.347662781404154,,232000000.0,0.5965514328803517,0.5723400637819959,0.6219255985082789,86.65186724658172,-0.0,546.6644287109375,1394.0259665263068,415.550537109375,2756.151123046875,5.044098117627402,-2.4291666261851788,10.191666642824808,1483.6515989420534,426.0,2952.0,2526.0
90,Dolomiti Bellunesi National Park,Casera Maiolera,12.21544,46.19984,spring,,0.0003,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0003,-3.5228787452803374,0.9030899869919435,POINT (12.21544 46.19984),0.5668931078940943,6.0,321.5838928222656,859.4161376953125,7.129166714536647,1473.0,16700.291233331867,4.2227240447958545,,152800000.0,0.5698606011505734,0.5668931078940943,0.5728280944070525,47.28867595168154,-0.0,367.0231018066406,747.2518656962627,335.0,2136.45654296875,8.631628059396133,1.1791666829958558,10.591666674551865,793.4112903225806,320.0,2414.0,2094.0
91,Dolomiti Bellunesi National Park,Val Lovatel,11.9727,46.20199,spring,,8e-05,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,8e-05,-4.096910013008056,0.7923916894982539,POINT (11.9727 46.20199),0.5177999684781862,8.0,-0.0,767.0,8.345833346247673,876.0,4875.643402257867,3.6880319344166153,,114400000.0,0.5507713389658314,0.5177999684781862,0.5837427094534766,84.72880361920194,-0.0,739.7491455078125,1159.8136083858528,352.6483459472656,2261.081787109375,6.4424183863708,0.8916666929920515,10.416666805744171,1244.4100438810337,334.0,2589.0,2255.0
92,Dolomiti Bellunesi National Park,La Varetta,12.17039,46.25332,spring,,8e-05,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,8e-05,-4.096910013008056,0.6812412373755872,POINT (12.17039 46.25332),0.5953886363507805,6.0,17.869638442993164,1653.13037109375,4.166666746139526,1715.0,4240.269037504096,3.627393412676856,,140800000.0,0.5386365921130382,0.5384361727297892,0.5388370114962872,78.98507615673442,-0.0,551.0527954101562,1099.0547132532304,328.15899658203125,2285.863525390625,6.863865547972608,0.5625000117967526,10.525000150936345,1179.9796488427774,328.0,2467.0,2139.0
93,Dolomiti Bellunesi National Park,Pian Fontana,12.1707,46.26364,spring,,0.00025,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,0.00025,-3.6020599913279625,0.7403626894942439,POINT (12.1707 46.26364),0.5953886363507805,6.0,56.3936882019043,1712.6063232421875,3.637500093628963,1964.0,13250.840742200298,4.12224343435695,,232000000.0,0.5965514328803517,0.5723400637819959,0.6219255985082789,86.65186724658172,-0.0,546.6644287109375,1394.0259665263068,415.550537109375,2756.151123046875,5.044098117627402,-2.4291666261851788,10.191666642824808,1483.6515989420534,426.0,2952.0,2526.0
94,Dolomiti Bellunesi National Park,Pian Regina,11.93642,46.16959,spring,,0.0004,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,0.0004,-3.3979400086720375,0.5314789170422551,POINT (11.93642 46.16959),0.5177999684781862,6.0,8.888537406921387,2042.1114501953125,2.345833346247673,2012.0,24378.217011289336,4.387001938752634,,139800000.0,0.5163996199819483,0.4985839371561148,0.5342153028077816,68.18158213711092,-0.0,482.5442199707031,886.5332360450258,209.91799926757812,2195.054443359375,7.916860869450305,1.3875000113621354,10.916666574776173,951.0392313851081,206.0,2350.0,2144.0
